driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Other,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,One way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
,Lorry (41?100Q),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
unknown,Turbo,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - no lighting,Windy,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - no lighting,Windy,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,One way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - no lighting,Windy,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,O Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Automobile,One way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Reversing,Unknown or other,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Raining,2.0,Going straight,Crossing from driver's nearside,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,2.0,Unknown,Crossing from driver's nearside,Serious Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (13?45 seats),other,Steep grade downward with mountainous terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),One way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Windy,2.0,Unknown,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Windy,2.0,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Turnover,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,1.0,Reversing,Not a Pedestrian,Serious Injury
1-2yr,Motorcycle,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Reversing,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,other,Steep grade downward with mountainous terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Moving Backward,Not a Pedestrian,Serious Injury
2-5yr,Lorry (11?40Q),other,Steep grade downward with mountainous terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Windy,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Escarpments,Crossing,Dry,Daylight,Normal,6.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,6.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,6.0,Going straight,Not a Pedestrian,Slight Injury
,Automobile,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,6.0,Going straight,Not a Pedestrian,Slight Injury
,Taxi,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,6.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,6.0,Going straight,Crossing from driver's nearside,Slight Injury
2-5yr,Taxi,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Unknown or other,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,O Shape,Wet or damp,Darkness - no lighting,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,O Shape,Wet or damp,Darkness - no lighting,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
unknown,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
1-2yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,other,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,3.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Serious Injury
Above 10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
1-2yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,2.0,Unknown,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,2.0,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,1.0,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Unknown,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
